tolerance is ao
in bisection: -25.000000, 25.000000, 0.000000, 0 
iter:000000001 a:-25.000000000 b:25.000000000 x: 0.000000 err:0.000000000
iter:000000002 a:0.000000000 b:25.000000000 x:12.500000 err:0.000000000
iter:000000003 a:0.000000000 b:12.500000000 x: 6.250000 err:0.000000000
iter:000000004 a:0.000000000 b:6.250000000 x: 3.125000 err:0.000000000
iter:000000005 a:0.000000000 b:3.125000000 x: 1.562500 err:0.000000000
iter:000000006 a:0.000000000 b:1.562500000 x: 0.781250 err:0.000000000
iter:000000007 a:0.000000000 b:0.781250000 x: 0.390625 err:0.000000000
iter:000000008 a:0.390625000 b:0.781250000 x: 0.585938 err:0.000000000
iter:000000009 a:0.585937500 b:0.781250000 x: 0.683594 err:0.000000000
iter:000000010 a:0.585937500 b:0.683593750 x: 0.634766 err:0.000000000
iter:000000011 a:0.585937500 b:0.634765625 x: 0.610352 err:0.000000000
iter:000000012 a:0.585937500 b:0.610351562 x: 0.598145 err:0.000000000
iter:000000013 a:0.598144531 b:0.610351562 x: 0.604248 err:0.000000000
iter:000000014 a:0.598144531 b:0.604248047 x: 0.601196 err:0.000000000
iter:000000015 a:0.598144531 b:0.601196289 x: 0.599670 err:0.000000000
iter:000000016 a:0.599670410 b:0.601196289 x: 0.600433 err:0.000000000
iter:000000017 a:0.599670410 b:0.600433350 x: 0.600052 err:0.000000000
iter:000000018 a:0.599670410 b:0.600051880 x: 0.599861 err:0.000000000
iter:000000019 a:0.599861145 b:0.600051880 x: 0.599957 err:0.000000000
iter:000000020 a:0.599956512 b:0.600051880 x: 0.600004 err:0.000000000
iter:000000021 a:0.599956512 b:0.600004196 x: 0.599980 err:0.000000000
iter:000000022 a:0.599980354 b:0.600004196 x: 0.599992 err:0.000000000
iter:000000023 a:0.599992275 b:0.600004196 x: 0.599998 err:0.000000000
iter:000000024 a:0.599998236 b:0.600004196 x: 0.600001 err:0.000000000
iter:000000025 a:0.599998236 b:0.600001216 x: 0.600000 err:0.000000000
iter:000000026 a:0.599999726 b:0.600001216 x: 0.600000 err:0.000000000
iter:000000027 a:0.599999726 b:0.600000471 x: 0.600000 err:0.000000000
iter:000000028 a:0.599999726 b:0.600000098 x: 0.600000 err:0.000000000
iter:000000029 a:0.599999912 b:0.600000098 x: 0.600000 err:0.000000000
iter:000000030 a:0.599999912 b:0.600000005 x: 0.600000 err:0.000000000
iter:000000031 a:0.599999959 b:0.600000005 x: 0.600000 err:0.000000000
iter:000000032 a:0.599999982 b:0.600000005 x: 0.600000 err:0.000000000
iter:000000033 a:0.599999994 b:0.600000005 x: 0.600000 err:0.000000000
iter:000000034 a:0.599999999 b:0.600000005 x: 0.600000 err:0.000000000
iter:000000035 a:0.599999999 b:0.600000002 x: 0.600000 err:0.000000000
iter:000000036 a:0.599999999 b:0.600000001 x: 0.600000 err:0.000000000
iter:000000037 a:0.599999999 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000038 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000039 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000040 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000041 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000042 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000043 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000044 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000045 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000046 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000047 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000048 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000049 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000050 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000051 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000052 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000053 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000054 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000055 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000056 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000057 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000058 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000059 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000060 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
iter:000000061 a:0.600000000 b:0.600000000 x: 0.600000 err:0.000000000
